iter	Passed	Remaining
911	27473	2650
912	27499	2620
913	27515	2589
914	27556	2559
915	27594	2530
916	27629	2500
917	27668	2471
918	27701	2441
919	27717	2410
920	27746	2379
921	27794	2351
922	27831	2321
923	27859	2291
924	27893	2261
925	27930	2231
926	27967	2202
927	28002	2172
928	28030	2142
929	28064	2112
930	28099	2082
931	28133	2052
932	28146	2021
933	28183	1991
934	28218	1961
935	28252	1931
936	28285	1901
937	28318	1871
938	28352	1841
939	28385	1811
940	28420	1781
941	28454	1751
942	28486	1721
943	28522	1692
944	28547	1661
945	28568	1630
946	28605	1600
947	28643	1571
948	28675	1541
949	28694	1510
950	28738	1480
951	28750	1449
952	28788	1419
953	28820	1389
954	28836	1358
955	28870	1328
956	28882	1297
957	28917	1267
958	28951	1237
959	28984	1207
960	29011	1177
961	29045	1147
962	29080	1117
963	29113	1087
964	29130	1056
965	29145	1025
966	29172	995
967	29203	965
968	29238	935
969	29255	904
970	29296	874
971	29330	844
972	29360	814
973	29376	784
974	29413	754
975	29445	724
976	29480	694
977	29496	663
978	29512	633
979	29545	602
980	29565	572
981	29595	542
982	29635	512
983	29673	482
984	29706	452
985	29742	422
986	29760	391
987	29792	361
988	29818	331
989	29853	301
990	29903	271
991	29922	241
992	29955	211
993	29987	181
994	30021	150
995	30069	120
996	30101	90
997	30134	60
998	30153	30
999	30184	0
