month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202507,South Dakota,SD,389900.0,-0.0129,-0.0228,3373,0.059,0.3596,51,0.1087,0.1087,1136,-0.0809,0.0327,12,0.0,-0.25,0.0021,0.0,-0.0013,972.0,0.0125,0.4507,0.1649,-0.0038,0.0256,1219,-0.0663,0.0366,207.0,0.0015,-0.0302,1904.0,-0.0089,-0.0076,522385.0,-0.0117,0.0065,4582,0.0236,0.2543,0.3615,-0.0485,-0.1126,0
202507,Wisconsin,WI,399900.0,0.0,0.0127,12314,0.04,0.1394,39,0.0405,0.0405,6928,-0.0407,0.0526,78,-0.1136,-0.1333,0.003,-0.0005,-0.0008,3974.0,0.1226,0.2442,0.1555,0.0164,0.019,6152,-0.0209,0.0523,217.0,-0.0045,0.047,1816.0,-0.0041,-0.01,513639.0,0.0008,0.0226,18386,0.019,0.1123,0.4996,-0.031,-0.0413,0
202507,Minnesota,MN,399000.0,-0.0024,-0.0024,14196,0.0403,0.1513,44,0.1429,0.1139,8270,-0.0702,-0.0043,230,0.4744,0.3068,0.0072,0.0024,0.0014,5836.0,0.0835,0.2168,0.1796,0.0145,0.0198,9340,-0.0695,0.016,203.0,-0.0072,-0.0006,1994.0,-0.004,-0.0175,545942.0,-0.007,0.0112,23431,-0.0079,0.0934,0.6579,-0.0776,-0.0876,0
202507,New Hampshire,NH,599000.0,0.0,0.0373,3189,0.0716,0.2662,43,0.1781,0.1622,1986,-0.1126,0.0365,40,-0.2,1.5,0.0052,-0.0012,0.0021,1162.0,0.0962,0.4171,0.1507,0.0169,0.0039,2527,-0.0392,1.1325,311.0,-0.0093,0.0314,1948.0,0.0012,0.0085,818422.0,-0.0069,0.0762,5690,0.0061,0.5394,0.7924,-0.0913,0.3219,0
202507,Nevada,NV,499450.0,-0.0009,-0.0071,13097,0.0265,0.5295,54,0.0594,0.2442,4406,-0.0614,0.0367,188,0.0682,-0.06,0.0088,0.0006,-0.003,5218.0,-0.0557,0.4257,0.2441,-0.0132,0.0317,3870,-0.0552,-0.0894,276.0,-0.0005,-0.0069,1827.0,-0.0012,-0.0177,842689.0,-0.0068,-0.0688,16950,0.0073,0.3241,0.2954,-0.0255,-0.2008,0
202507,Vermont,VT,525000.0,0.0024,0.0,2383,0.1372,0.3041,49,0.0769,0.0538,1028,-0.0638,0.0642,16,0.0,0.3333,0.0034,-0.0001,-0.0001,616.0,0.0267,0.2623,0.1312,-0.0059,-0.0109,1218,0.0292,0.9016,268.0,-0.0111,-0.0122,2016.0,-0.0038,0.0064,781872.0,0.0057,-0.0229,3600,0.0979,0.4529,0.5112,-0.0537,0.1607,0
202507,Washington,WA,659475.0,-0.0226,0.0076,24224,0.0625,0.3158,45,0.1392,0.1392,10460,-0.095,0.04,442,-0.2559,-0.083,0.0097,-0.0036,-0.003,10096.0,0.0661,0.2607,0.2258,0.0144,0.0221,9811,-0.0648,-0.0737,349.0,-0.0153,0.0186,1981.0,-0.0005,-0.0055,911694.0,-0.0148,0.0061,33964,0.0198,0.1736,0.405,-0.0551,-0.1703,0
202507,Oklahoma,OK,304995.0,-0.011,0.0168,15441,0.0362,0.2027,58,0.055,0.0849,5884,-0.0154,-0.0137,246,-0.016,0.5974,0.0091,-0.0001,0.0029,5912.0,0.0183,0.1151,0.2123,0.0003,0.0059,6458,-0.0191,0.066,164.0,-0.0049,0.0197,1881.0,-0.0024,-0.004,403252.0,-0.0071,-0.0048,21853,0.0185,0.1582,0.4182,-0.0236,-0.0536,0
202507,Idaho,ID,599450.0,0.0008,0.0425,9452,0.0414,0.1522,55,0.1848,0.09,3492,-0.1092,0.0259,122,-0.2989,-0.1159,0.0071,-0.0031,-0.0017,3950.0,0.0757,0.2131,0.2314,0.018,0.0232,4120,-0.0269,0.0281,292.0,-0.0008,0.021,2184.0,0.0009,0.0266,933421.0,0.0095,0.0258,13548,0.0192,0.1142,0.4358,-0.0306,-0.0526,0
202507,Illinois,IL,323225.0,-0.0055,-0.035,20843,0.0607,0.0767,37,0.0137,0.0278,14352,-0.0309,0.0447,214,0.07,0.1263,0.004,0.0002,0.0003,7758.0,0.1466,0.1621,0.1478,0.0197,0.0189,17165,-0.0721,-0.0336,187.0,-0.0145,-0.004,1723.0,0.0077,-0.0275,465891.0,-0.0182,-0.0624,37931,-0.005,0.0242,0.8235,-0.1179,-0.094,0
202507,Pennsylvania,PA,324995.0,-0.0122,0.0001,23901,0.0274,0.1349,47,0.0562,0.0444,14228,0.0062,0.0615,380,-0.163,-0.1775,0.0067,-0.0016,-0.0023,9148.0,0.0194,0.1395,0.1495,-0.0139,-0.0075,17399,-0.0057,0.0545,193.0,-0.0136,0.0203,1718.0,-0.0061,-0.0177,448392.0,-0.0264,-0.0284,41258,0.0098,0.1009,0.728,-0.0242,-0.0556,0
202507,North Dakota,ND,369950.0,0.0032,-0.0135,2100,0.0332,0.0682,54,0.1146,0.049,862,-0.0691,-0.0315,22,-0.3125,0.0,0.0052,-0.0025,-0.0002,586.0,-0.0201,-0.0201,0.1428,-0.0024,-0.0107,1135,-0.0156,0.0993,167.0,-0.0037,0.0224,2178.0,0.0075,-0.0027,441870.0,0.0032,0.0441,3234,0.0234,0.0834,0.5405,-0.0268,0.0153,0
202507,Wyoming,WY,496647.0,-0.0002,0.0137,2771,0.1003,0.1916,52,0.04,0.0097,1004,-0.1239,0.0681,14,0.0,0.1667,0.0033,0.0,0.0001,792.0,0.1613,0.3113,0.1817,0.022,0.0266,625,-0.037,0.0056,218.0,0.0019,0.0071,2201.0,-0.0035,-0.0353,1220190.0,0.0456,0.1624,3394,0.0754,0.1586,0.2254,-0.0321,-0.0417,0
