agent_id,comprehensive_score,client_satisfaction,professional_competence,market_expertise,total_reviews,avg_rating,experience_years,transaction_volume,rank
181958,35.95878881339824,,,,,,,,395.0
1855872,35.906899673878456,,,,,,,,396.0
3329324,35.88892736733519,,,,,,,,397.0
100453043,35.76818522462793,,,,,,,,398.0
1393869,35.75885285271552,,,,,,,,399.0
1308197,35.69668685219901,,,,,,,,400.0
196633,35.67757242470172,,,,,,,,401.0
3347518,35.652044487887466,,,,,,,,402.0
1851274,35.64293774120933,,,,,,,,403.0
1131222,35.63123910078791,,,,,,,,404.0
133571,35.547039948595994,,,,,,,,405.0
959500,35.54065187382391,,,,,,,,406.0
100244571,35.50286721652816,,,,,,,,407.0
3711981,35.439390917987204,,,,,,,,408.0
69614,35.36665059445889,,,,,,,,409.0
1422741,35.27186020459879,,,,,,,,410.0
682721,32.55193668009797,,,,,,,,411.0
3123020,31.350037962508527,,,,,,,,412.0
1408028,27.545389423004323,,,,,,,,413.0
911629,17.61226318179861,,,,,,,,414.0
1972206,15.992402990220892,,,,,,,,415.0
321850,13.900581038827086,,,,,,,,416.0
320740,11.236846208359356,,,,,,,,417.0
3140404,9.886040901404424,,,,,,,,418.0
4687991,6.845905826838082,,,,,,,,419.0
100133205,4.631671212705153,,,,,,,,420.0
665026,1.3721803433633006,,,,,,,,421.0
121277,0.6335851399520452,,,,,,,,422.0
